,Product Name,Prices,Image
0,Sanskrutihomes,839,https://rukminim2.flixcart.com/image/612/612/xif0q/night-suit/z/7/h/xxl-os-se-nsp-32-sanskrutihomes-original-imaguhn9kexayxbq.jpeg?q=70
1,Sanskrutihomes,839,https://rukminim2.flixcart.com/image/612/612/xif0q/night-suit/x/d/t/xl-se-nsp-233-jivisha-enterprises-original-imahyas3jjr48rsd.jpeg?q=70
2,Yana,295,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-bra/t/j/u/non-padded-32-yes-regular-regular-6-lose-bra-cmb6-shopglobal-original-imah3ajm5yscad8b.jpeg?q=70
3,MONTREZ,319,https://rukminim2.flixcart.com/image/612/612/xif0q/jacket/6/2/g/xl-mntnw-4024-montrez-original-imafg82gbevyfwwz-bb.jpeg?q=70
4,Dress,260,https://rukminim2.flixcart.com/image/612/612/xif0q/shapewear/p/k/t/xxl-sw-black-elliti-original-imaghbjxgm5wmvyr.jpeg?q=70
5,GUTI,489,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/b/2/y/28-gtladiesjeans105-guti-original-imah3uacghzmpc3y.jpeg?q=70
6,LUSH&LOOM,439,https://rukminim2.flixcart.com/image/612/612/xif0q/shrug/a/r/8/l-shrug-long-lush-loom-lifestyle-original-imagt3hzkgxzmkbr.jpeg?q=70
7,Diving,420,https://rukminim2.flixcart.com/image/612/612/xif0q/panty/h/i/j/xxl-5-panty-for-women-underwear-for-women-panty-combo-diving-original-imagwehuqgc595xg.jpeg?q=70
8,Uptownie,680,https://rukminim2.flixcart.com/image/612/612/xif0q/top/u/m/g/xl-ulss24tp18-54-065-uptownie-lite-original-imah27u5dagwh8bv.jpeg?q=70
9,TRINABH,399,https://rukminim2.flixcart.com/image/612/612/kzegk280/night-suit/v/u/k/xl-ske4001-black-pati-night-suit-trinabh-original-imagbfg7rwbkvyvm.jpeg?q=70
